event_name,ticker,company,category,announcement_date,release_date,alpha,beta,r_squared,estimation_days,abnormal_return_minus5_plus0,abnormal_return_minus3_plus0,abnormal_return_minus1_plus0,abnormal_return_plus0_plus1,abnormal_return_plus0_plus3,abnormal_return_plus0_plus5,raw_return_minus5_plus0,raw_return_minus3_plus0,raw_return_minus1_plus0,raw_return_plus0_plus1,raw_return_plus0_plus3,raw_return_plus0_plus5,volume_spike,dollar_volume,turnover,baseline_volume,event_volume,t_statistic,p_value,significant_5pct,significant_1pct,data_quality_score,analysis_timestamp
iPhone 12,AAPL,Apple,Consumer Hardware,2020-10-13,2020-10-23,0.002528345068283837,1.2161424206632307,0.4121808575786704,82,0.010590510361887087,0.019642758580677558,0.019642758580677558,-0.015116018971908904,-0.03644014307359615,-0.03644014307359615,0.0533182601111839,-0.026527204988994635,-0.026527204988994635,0.0007430807767601078,-0.01717609226818395,-0.01717609226818395,0.04314363056477477,17727810087.530396,0.15312578824539355,145878610.0,152172342.85714287,0.7033719617695083,0.5324979052699605,False,False,0.6833333333333333,2025-08-14T15:04:02.255224
iPhone 13,AAPL,Apple,Consumer Hardware,2021-09-14,2021-09-24,0.00030862932658097574,1.3325683480515849,0.5289237601287021,83,-0.025657852574401147,-0.0016617305295600665,-0.0016617305295600665,-0.007670400161617408,-0.01403786364088801,-0.01403786364088801,-0.03861887356686966,-0.009562226018013598,-0.009562226018013598,0.006143476084460531,-0.013907477873773444,-0.013907477873773444,0.2599795937198335,14422867820.868168,0.10086699717567009,78355430.0,98726242.85714285,-1.4573580531891923,0.241072536288501,False,False,0.6916666666666667,2025-08-14T15:04:02.365502
iPhone 14,AAPL,Apple,Consumer Hardware,2022-09-07,2022-09-16,0.0010428987289431645,1.3031851840227857,0.8291484632187925,82,-0.02027446586734038,-0.01961224897628035,-0.01961224897628035,-0.03496639344179201,-0.03707090116528643,-0.013399237745647156,0.0009626478316500098,0.009253956259131169,0.009253956259131169,-0.009617816613710861,0.009040902653197902,0.047896877797299675,0.1487668637652193,12771801793.600971,0.07938206252170604,71965690.0,82671800.0,-0.6073173915788377,0.6054079181390428,False,False,0.6833333333333333,2025-08-14T15:04:02.479957
iPhone 15,AAPL,Apple,Consumer Hardware,2023-09-12,2023-09-22,-4.5778496195041226e-05,1.0945392590104057,0.4472528900003001,82,-0.03518378595061453,-0.011471165422224544,-0.011471165422224544,-0.023948493753755615,-0.015145934154214787,-0.015145934154214787,-0.007095900481928763,-0.017060495074188275,-0.017060495074188275,-0.011854910777688188,-0.00731712539629481,-0.00731712539629481,0.2969456860944415,14537153486.084421,0.08387831163644713,64083155.0,83112371.42857143,-1.0596282919998543,0.3670736024656426,False,False,0.6833333333333333,2025-08-14T15:04:02.590640
M1 Mac Launch,AAPL,Apple,Computing Hardware,2020-06-22,2020-11-10,0.0016876350284956339,1.0709737181749408,0.8721051916204969,84,0.015019356834894425,0.01616848016808706,0.017520312180500444,0.032563916000913476,0.04076517614371815,0.03429817887124667,0.0207062744671751,0.026164023826899196,0.0,0.02134437200063588,0.016635247102284145,-0.014601624008313108,0.1427275648590698,14722981253.472805,0.17151499417936783,148625320.0,169838250.0,0.6741542615453556,0.5485110461851074,False,False,0.7,2025-08-14T15:04:02.701575
MacBook Pro M1 Pro/Max,AAPL,Apple,Computing Hardware,2021-10-18,2021-10-26,0.0006686439519140352,1.3722815071287118,0.43086091037604374,83,-0.009802169251687233,0.0031129445181445684,0.0065063244778860475,0.010771871553387038,0.005130507837379899,0.0006488103327964949,0.04002550298318308,0.011806102283826059,0.0,0.015079934169733189,0.019993061317996386,0.014602500946038877,-0.08285541986816192,9993131111.162615,0.06865127693242244,75956045.0,69662675.0,1.7329431211251496,0.18152621218668497,False,False,0.6916666666666667,2025-08-14T15:04:02.815381
Apple Watch Series 8,AAPL,Apple,Wearables,2022-09-07,2022-09-16,0.0010428987289431645,1.3031851840227857,0.8291484632187925,82,-0.02027446586734038,-0.01961224897628035,-0.01961224897628035,-0.03496639344179201,-0.03707090116528643,-0.013399237745647156,0.0009626478316500098,0.009253956259131169,0.009253956259131169,-0.009617816613710861,0.009040902653197902,0.047896877797299675,0.1487668637652193,12771801793.600971,0.07938206252170604,71965690.0,82671800.0,-0.6073173915788377,0.6054079181390428,False,False,0.6833333333333333,2025-08-14T15:04:02.926944
Vision Pro Announcement,AAPL,Apple,Mixed Reality,2023-06-05,,0.00284530791693402,1.1847404686417669,0.6563916418864733,83,-0.01771999927665567,-0.023331960329671313,-0.008042522371193603,-0.015737058459605796,-0.016534504340687935,-0.018580221979675394,0.013145292415164267,-0.007570938700558805,0.0,-0.002060471956505827,0.005512806380503665,0.007684455499536336,0.2162399840452962,12837998255.389595,0.07173547744555452,59443285.0,72297300.0,0.6526757072452734,0.5605184121603525,False,False,0.6916666666666667,2025-08-14T15:04:03.038537
Vision Pro US Launch,AAPL,Apple,Mixed Reality,2024-01-08,2024-02-02,0.0008090056030786953,1.109903364678233,0.5099478419448726,84,-0.008251599966412629,0.0008516444824208927,0.007700073597766765,0.0062678965162614505,0.0015548293843020587,0.0016905662243913676,0.0071099544958568295,0.02417495376303025,0.0,-0.0022634984157169358,0.00016154222069308943,0.0019400822654587202,-0.015691652517167975,9858484276.937485,0.05347433891164305,54754590.0,53895400.0,-0.0007835321719615539,0.9994240215093858,False,False,0.7,2025-08-14T15:04:03.152330
RTX 30 Series,NVDA,NVIDIA,Semiconductor Hardware,2020-09-01,2020-09-17,0.003456144909046088,1.0659864773576664,0.42511490146180964,82,0.05227857816029714,0.03834577214821226,0.03834577214821226,0.040401875627877476,-0.043367050868660634,-0.043367050868660634,0.09477831673268211,0.033693696942017404,0.033693696942017404,0.03802187239905552,-0.0867158444296584,-0.0867158444296584,0.2357195311845366,9738970276.473999,0.7738680111905671,595343600.0,735677714.2857143,1.7354821374861529,0.1810607643193226,False,False,0.6833333333333333,2025-08-14T15:04:03.271611
RTX 40 Series,NVDA,NVIDIA,Semiconductor Hardware,2022-09-20,2022-10-12,-0.000274599256531473,2.1284767956012236,0.7359308926539426,82,0.054067220612795175,0.008494144310043994,0.008494144310043994,0.05203109432067897,0.050828537905537326,0.050828537905537326,0.0191042595983395,-0.015393840009657489,-0.015393840009657489,0.006451266485587581,-0.05009095496627736,-0.05009095496627736,0.012055091097139092,8385003195.528906,0.6707097339809803,637885800.0,645575571.4285715,0.1100609409609278,0.9193106315862516,False,False,0.6833333333333333,2025-08-14T15:04:03.381306
RTX 40 SUPER,NVDA,NVIDIA,Semiconductor Hardware,2024-01-08,2024-01-17,0.0009516047252359051,1.8046821828997022,0.34245519642843536,84,0.07184096185865235,0.05650724358114696,0.03785685294734815,0.05654754291131084,0.07708458483695466,0.07273466754712735,0.09846746501089787,0.0642808777062982,0.0,0.016975153664072984,0.04916468840248456,0.04702120267311982,0.2067716487411655,25482315623.07793,0.4659780097723808,408282400.0,492703625.0,1.2948573115309001,0.28601873380459786,False,False,0.7,2025-08-14T15:04:03.492879
RTX 3080 Ti / 3070 Ti,NVDA,NVIDIA,Semiconductor Hardware,2021-05-31,2021-06-03,-0.0005359256614026176,1.9829108259966692,0.3837336626125605,82,0.03273115595174363,0.04785589072722701,0.0,0.0027433489496468365,0.051142143637916096,0.07001864973109487,0.03468159735177534,0.0,0.0,0.0,0.04336120992216297,0.08077385216247124,0.3412406578226923,9041029690.276787,0.5155412025090687,411192000.0,551507428.5714285,0.6923940765041541,0.5602769736119092,False,False,0.6833333333333333,2025-08-14T15:04:03.602847
RTX 4070 Ti,NVDA,NVIDIA,Semiconductor Hardware,2023-01-03,2023-01-05,-0.00047239500733796196,2.0731208678885586,0.7134982056078418,83,-0.0005320179710484266,-0.011693832857480366,-0.011693832857480366,0.003467228468410218,-0.00997257398112576,-0.00997257398112576,-0.019721996986029278,0.0,0.0,0.03031786354007493,0.03800205013885072,0.03800205013885072,-0.11700889984224061,5560390698.0238495,0.37454298125375074,432663100.0,382037666.6666667,0.3867012717772556,0.7362435738238029,False,False,0.6916666666666667,2025-08-14T15:04:03.712851
H100 Hopper GPU,NVDA,NVIDIA,AI Hardware,2022-03-22,2022-09-20,0.002631765023367173,2.8403443258862615,0.5756589264388257,82,-0.02768990016586277,-0.03336907094062486,-0.03336907094062486,-0.043922140785290754,-0.022435912908043712,-0.022435912908043712,0.07098431506413405,-0.007855119012363798,-0.007855119012363798,-0.033554607170511175,0.04403565447571722,0.04403565447571722,0.20203890799946,16291031529.747086,0.5892668734930976,511025650.0,614272714.2857143,1.242572409272406,0.3022997598904345,False,False,0.6833333333333333,2025-08-14T15:04:03.823939
Blackwell B200 / GB200,NVDA,NVIDIA,AI Hardware,2024-03-18,,0.003553442673369182,1.7147765601685834,0.35521062572653567,82,-0.04343197333891553,-0.0010050406944449256,-0.00735176709300733,-0.009931513355607418,-0.01519944700860558,0.01486501110317244,-0.026769185964683584,0.007035735925204456,0.0,0.010660725815685668,0.033689346634383055,0.06595436970166002,0.005086171361801561,53658128976.66454,0.5693080779027366,592911600.0,595927250.0,-1.1084021757772322,0.3485606257688902,False,False,0.6833333333333333,2025-08-14T15:04:03.933256
Xbox Series X/S,MSFT,Microsoft,Gaming Hardware,2020-09-09,2020-11-10,0.0007883583748598509,0.948105269765385,0.49041097229865843,84,-0.012985603277868504,-0.005872439757771495,-0.005872439757771495,0.010561338631831788,0.002742745475435045,-0.0033624509924437516,-0.013815707219071549,0.0425838947404813,0.0425838947404813,-0.02801850996858357,-0.034360520288327145,-0.02782916929222079,0.21153744632575866,8546360679.275174,0.043321826632418625,35454235.0,42954133.333333336,-0.3036509346015221,0.7900709117687559,False,False,0.7,2025-08-14T15:04:04.043595
Windows 11,MSFT,Microsoft,Software Platform,2021-06-24,2021-10-05,0.00022704736253156593,1.1365545297907034,0.5332108283429848,85,-0.00027060341989155177,-0.00027060341989155177,-0.001378601274989993,-0.011753023448634955,-0.011753023448634955,0.008780933400417437,0.015458945844410099,0.015458945844410099,0.0053531665181691945,-0.006261887572999281,-0.006261887572999281,0.017660945569154984,-0.029582643646318907,5799543118.723499,0.02208995101980716,23185120.0,22499242.85714286,2.298065921877833,0.10517475087807313,False,False,0.7083333333333334,2025-08-14T15:04:04.155867
Surface Pro 8 & Laptop Studio,MSFT,Microsoft,Computing Hardware,2021-09-22,2021-10-05,0.0010129013557336824,1.0992846381330865,0.4733696402279221,84,-0.006527064055319151,0.001998755276660405,0.002923492875679113,-0.009725815976952344,-0.013045659565577968,-0.028310818380837287,-0.004302033383048243,0.014542829224787113,0.012822056055481035,0.0032821996769896167,0.002579021825615424,-0.014769898546452942,0.1966261046452884,7647223582.742995,0.026821659346189183,22183430.0,26545271.42857143,-0.7048744796370054,0.5316844735771341,False,False,0.7,2025-08-14T15:04:04.273187
Surface Pro 9,MSFT,Microsoft,Computing Hardware,2022-10-12,2022-10-25,6.509627355761829e-05,1.1735992649926656,0.8027210782090766,82,-0.034486976331713,-0.016434045655354827,-0.0038589955706004684,0.012374791936145617,0.015831431725552292,0.023935143934137454,-0.03624488324664277,-0.015267014411771807,0.0015082143483236,0.03760798009430277,0.012447285076854664,0.05218156686961217,0.06450821789044547,7111810627.01578,0.03063513609057053,29629215.0,31540542.85714286,-2.013479015325254,0.13751998248323202,False,False,0.6833333333333333,2025-08-14T15:04:04.382330
Copilot for Windows,MSFT,Microsoft,AI Software,2023-09-21,2023-09-26,0.0006351057624585617,1.3458366823496832,0.34692651893100585,84,0.0014992096315832489,0.0014992096315832489,0.005604095990253046,0.012140087429245043,0.012140087429245043,0.00995194664252767,-0.02896131774188393,-0.02896131774188393,-0.003865612735870161,-0.007886567689433965,-0.007886567689433965,-0.023127660033695707,0.07495416129914068,7048184647.431665,0.022882866148736636,20720950.0,22274071.42857143,-1.535671469682037,0.2221938554008178,False,False,0.7,2025-08-14T15:04:04.494343
Battery Day,TSLA,Tesla,Energy Technology,2020-09-22,2020-09-22,0.009787338615831087,1.6916780148772452,0.2316559187403749,83,-0.04111455812591265,-0.05740551699911928,-0.05740551699911928,-0.1566364439684239,-0.13834441490518404,-0.13834441490518404,0.0018894117374879116,-0.055986946823462835,-0.055986946823462835,-0.10341090738483938,-0.03981334231675049,-0.03981334231675049,-0.033767211791470686,36349598301.00011,0.26770952001615816,271047105.0,261894600.0,-0.38923804037723736,0.7230847814917032,False,False,0.6916666666666667,2025-08-14T15:04:04.606719
Model S Plaid Delivery,TSLA,Tesla,Electric Vehicle,2021-05-20,2021-06-10,-0.002262881773326296,2.626391389998999,0.3023945460049283,82,0.014438553981603814,0.014438553981603814,0.0009861753395406306,0.010195869038202895,0.010195869038202895,0.03538908515649845,0.01724944377624582,0.01724944377624582,0.04138712802336375,-0.010054917128925145,-0.010054917128925145,0.030522518207218408,0.01992658087098298,19081344299.18313,0.09466674034948419,95895600.0,97806471.42857143,-0.05938222179497209,0.9563819905041049,False,False,0.6833333333333333,2025-08-14T15:04:04.721895
AI Day 2 (Optimus/Dojo),TSLA,Tesla,AI Technology,2022-09-30,2022-09-30,0.0007806331590509604,2.0617829012756026,0.6215952279986157,84,0.021504295480357913,-0.0015048394023349197,-0.006075483851676444,0.019247525662972997,-0.12104524862673549,-0.18705747118049712,-0.03898412878127833,-0.06252209757815941,-0.011036096899372572,0.0,-0.08614516909902215,-0.09213950025035345,0.11149879870268142,20301339677.396393,0.08430438886764526,69156485.0,76867350.0,-0.41589494239590363,0.6988311633369861,False,False,0.7,2025-08-14T15:04:04.836761
Cybertruck Delivery Event,TSLA,Tesla,Electric Vehicle,2023-11-28,2023-11-30,6.449644300603663e-05,2.6094009516657546,0.3567380621183331,83,0.053830251281315425,0.050157878369124664,0.050157878369124664,0.034394886215832504,-0.01277160864947333,-0.01277160864947333,0.04786580768118842,0.04506946504203557,0.04506946504203557,-0.010457205813430348,-0.03197956935234625,-0.03197956935234625,-0.05627955244615945,28617536033.649315,0.11982387394483628,126236730.0,119132183.33333333,1.2890276876094944,0.3263609602968811,False,False,0.6916666666666667,2025-08-14T15:04:04.963319
Model 3 Highland Refresh,TSLA,Tesla,Electric Vehicle,2023-09-01,2024-01-10,0.0009911274223646381,2.4131698816610596,0.31736657158323184,83,-0.03411903290693315,-0.018974356647964576,-0.04852016505622153,-0.05597591526344645,-0.05597591526344645,-0.001975467995879464,0.025919047788210525,-0.04732093675843463,-0.05064318329763218,0.0,0.0,0.0282029460717228,0.06171220653270226,30662477130.114,0.12171513715854665,114578050.0,121648914.28571428,0.3012581136018771,0.778229104418593,False,False,0.6916666666666667,2025-08-14T15:04:05.088583
Ryzen 5000 (Zen 3),AMD,AMD,CPU Hardware,2020-10-08,2020-11-05,0.003572569359880162,1.130504108564219,0.14562511987508123,84,0.010343387505776866,0.010343387505776866,-0.011784060778636725,-0.0676355589973974,-0.0676355589973974,-0.06014357794248271,0.004178764991007222,0.004178764991007222,-0.0020763675176667107,-0.039417449750371314,-0.039417449750371314,-0.014218047931575106,0.006218118411658091,4478089899.112701,0.052510435778756505,52226180.0,52550928.571428575,0.9068566738546829,0.4313361087037535,False,False,0.7,2025-08-14T15:04:05.206694
Radeon RX 6000 (RDNA 2),AMD,AMD,GPU Hardware,2020-10-28,2020-11-18,0.003838636069339178,1.2523065110360225,0.17786526454307464,84,0.014686972825972894,-0.00914112253795505,-0.03187660082419411,0.011316262870060052,-0.012323433281318706,-0.03942465332185657,-0.06783794071133775,-0.07089871814486681,-0.031440109202483524,0.02120412414702333,-0.01452880351024044,-0.02225136837282493,0.3267032895462636,5576191017.871903,0.07464780784041411,53739500.0,71296371.42857143,-0.5528805394074512,0.6188742244839949,False,False,0.7,2025-08-14T15:04:05.320814
Ryzen 7000 (Zen 4),AMD,AMD,CPU Hardware,2022-08-29,2022-09-27,0.000984503627749812,2.023000939878798,0.7431967145525896,82,0.002632752762923043,-0.01157519802017588,-0.017000570047029092,-0.013191156795430755,-0.05914534993362709,-0.06379559381012881,-0.04572420295126656,-0.029502110467239717,0.0,-0.017516052206821175,-0.06961234242765113,-0.09323087579571299,-0.015192855018273499,6138635752.608418,0.07650343863456374,70837410.0,69761187.5,-0.4341333401536401,0.6935193525701229,False,False,0.6833333333333333,2025-08-14T15:04:05.430399
Radeon RX 7900 XTX/XT,AMD,AMD,GPU Hardware,2022-11-03,2022-12-13,-0.0033046124373693484,1.744527907000962,0.6504573283696425,84,0.06533383485158425,0.06533383485158425,0.07667200716225936,0.06116477407818808,0.06116477407818808,0.06775416134691592,0.0008324881105110649,0.0008324881105110649,0.02524304136574873,0.03460319406483636,0.03460319406483636,0.062219228510961955,-0.0017393002609110697,5396948814.989269,0.08452543373476658,88508500.0,88354557.14285715,-0.625212565663287,0.5761597869695503,False,False,0.7,2025-08-14T15:04:05.546720
Instinct MI300X,AMD,AMD,AI Hardware,2023-12-06,2023-12-06,0.000354530157700956,2.2556904237407958,0.4083246275475756,85,-0.028486120166343668,-0.016780527104554382,-0.005395012946916016,0.07582049239848142,0.07051230099688574,0.10388991842981898,-0.037647250332006554,-0.014759214004420596,-0.013177881354856202,0.09887001757007385,0.10357814163440016,0.15057356628348373,0.3200873733167213,8549741041.057695,0.06360941007449653,52299720.0,69040200.0,-1.5766663718946645,0.21296612889448674,False,False,0.7083333333333334,2025-08-14T15:04:05.657197
PlayStation 5,SONY,Sony,Gaming Hardware,2020-06-11,2020-11-12,0.00029144524679585994,0.7755007270110085,0.8178350697424978,84,0.047904564278936815,0.047904564278936815,0.03481111458218628,0.0041227481124871766,0.0041227481124871766,-0.0019745614333317105,-0.017356912616554254,-0.017356912616554254,-0.0445326368732869,0.013655808647924816,0.013655808647924816,0.029389928948755584,0.0718986439241962,115099248.09942439,0.008555549802373759,8034475.0,8612142.857142856,0.0385068597782882,0.9717027304292393,False,False,0.7,2025-08-14T15:04:05.772807
PSVR2,SONY,Sony,Gaming Hardware,2022-11-02,2023-02-22,-0.0027658605319781484,0.8962587024582213,0.6307828704234815,83,0.0922244536284061,0.09672317170847523,0.09287676782249701,0.012405630525990422,0.03707062865845311,0.04341998914273701,0.051879119773276194,0.05780338060891976,-0.0356709497752461,0.010648824993298334,0.04511704167785857,0.05786758968478645,0.5072073275352789,118526360.63519304,0.007977048868765562,5561800.0,8382785.714285715,0.6203543716657343,0.5789601605905363,False,False,0.6916666666666667,2025-08-14T15:04:05.889198
PS5 Slim Refresh,SONY,Sony,Gaming Hardware,2023-10-10,2023-11-10,-0.002522280281950436,1.2114633783653281,0.30166912106317356,81,0.01712892345656058,0.010779642609274689,0.010779642609274689,0.016873960319533705,0.03215507800167027,0.03215507800167027,0.021119897334009874,0.013293451288248548,0.013293451288248548,0.010046060756135677,0.006382230079826856,0.006382230079826856,-0.06779364978736457,43047494.28433788,0.0025520448987954845,2760425.0,2573285.714285714,2.9712269790971884,0.0590100684748044,False,False,0.675,2025-08-14T15:04:06.004330
